RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract�
covidestim: COVID-19 nowcasting https://t.co/WrqpdbNmRu 2 weeks to flatten the curve? https://t.co/f4Ydg90xpr
Canadian inflation hit a new three-decade high in January, heaping more pressure on the Bank of Canada to raise int� https://t.co/vsKOIU06d2

2022-02-17 17:57:55+00:00,"b""RT @elBryan: @MZHemingway ZeroHedge was banned in Feb 2020 for alleging that COVID-19 was leaked from a Chinese lab. Now they're banned aga\xe2\x80\xa6"""

2022-02-17 17:57:54+00:00,"b""RT @niehaus_carl: I'm up against this today: Trumped-up COVID-19 charges abused for persecution. Mxm, the State prosecutor wants me sentenc\xe2\x80\xa6"""

2022-02-17 17:57:52+00:00,b'RT @abdulla_shahid: Deeply saddened to hear that my brother @MevlutCavusoglu has tested positive for Covid-19.  \n\nMy prayers are with you f\xe2\x80\xa6'

2022-02-17 17:57:52+00:00,b'RT @DawnButlerBrent: I\xe2\x80\x99ve written to the Prime Minister outlining my concerns regarding the plan to mark the Queen\xe2\x80\x99s 70-year reign by sendi\xe2\x80\xa6'

2022-02-17 17:57:52+00:00,"b'RT @RepThomasMassie: Thank you to @RepMikeJohnson for cosponsoring HR 3860, legislation I introduced to prevent members of the Armed Forces\xe2\x80\xa6'"

2022-02-17 17:57:52+00:00,b'RT @imgrund: RE-UPPING: Boostered individuals were 1.4 times LESS likely to TRANSMIT COVID-19 than fully vaccinated people.\n\nUnvaccinated w\xe2\x80\xa6'

2022-02-17 17:57:50+00:00,"b""RT @allkpop: TXT's Yeonjun confirmed to have COVID-19\nhttps://t.co/UOeUMpKuCq"""

2022-02-17 17:57:50+00:00,b'RT @EssexPR: Vaccinate the vulnerable turned into vaccinate anything that moves.\nIt was either the plan from the off and they lied or they\xe2\x80\xa6'

2022-02-17 17:57:49+00:00,"b'RT @BNODesk: Number of Americans hospitalized with COVID-19 drops below 75,000, lowest since December'"

2022-02-17 17:57:49+00:00,b'@JimMcWilliams5 @GOP Who is moving on? The folks who never masked or social distanced in the first place? I am a nu\xe2\x80\xa6 https://t.co/PowIDpLgnK'

2022-02-17 17:57:48+00:00,b'@paimadhu Suppression of views from endemic countries is a serious problem. Harmful policies can be promoted. Open\xe2\x80\xa6 https://t.co/MD7YQa1RHm'

2022-02-17 17:57:48+00:00,"b'@CDCDirector said yesterday that @CDCgov may change the metrics underlying their COVID-19 guidance ""soon"" beyond ju\xe2\x80\xa6 https://t.co/RrcermgKEx'"

2022-02-17 17:57:48+00:00,"b""RT @awong37: Great news! Novavax's COVID-19 vaccine (Nuvaxolid) has been approved by Health Canada.\n\nIt's a protein subunit vaccine that ta\xe2\x80\xa6"""

2022-02-17 17:57:47+00:00,"b'RT @NPR: High school junior Nicolas Montero and his parents are separated by a political and cultural rift common throughout the U.S., his\xe2\x80\xa6'"

2022-02-17 17:57:45+00:00,b'@DeFinexxd @EEdithje @JacquelineWxxx Increased pregnancy loss. https://t.co/qPNASFeInU. https://t.co/g9WZCaxpqW'

2022-02-17 17:57:44+00:00,"b""The last of Canada's Covid-19 demonstrations may end soon"""

2022-02-17 17:57:44+00:00,"b'@Nowhere83126122 @NickHudsonCT @jhaskinscabrera From the Pfizer trial:\n\n""Vaccine efficacy (VE) against COVID-19 was\xe2\x80\xa6 https://t.co/8EIOg0k8rr'"

2022-02-17 17:57:43+00:00,b'COVID-19 Pandemic Continues To Reshape Work in America | From @pewresearch  https://t.co/MPzJDGyykU \n#Remotework #wfh.'

2022-02-17 17:57:43+00:00,"b'Sajid Javid: Support for 500,000 Immunocompromised People for whom Covid-19 remains a significant risk - Sign the P\xe2\x80\xa6 https://t.co/z16v9vd6Zt'"

2022-02-17 17:57:42+00:00,b'RT @uksciencechief: The latest scientific evidence informing the advice from SAGE is available here \xf0\x9f\x91\x89 https://t.co/Boq1miZRmW https://t.co/\xe2\x80\xa6'

2022-02-17 17:57:41+00:00,"b'RT @RepThomasMassie: Thank you to @RepMikeJohnson for cosponsoring HR 3860, legislation I introduced to prevent members of the Armed Forces\xe2\x80\xa6'"

2022-02-17 17:57:41+00:00,b'RT @GIZAfricanUnion: 2 Unions \xe2\x80\x93 1 Vision for 2030 | The 6th #AUEU Summit taking place today and tomorrow in Brussels.\nCore themes are:\n\xe2\x80\xa2COV\xe2\x80\xa6'

2022-02-17 17:57:39+00:00,"b""The last of Canada's Covid-19 demonstrations may end soon  https://t.co/9glqcXpomU"""

2022-02-17 17:57:39+00:00,"b""As Ohio's older adult population continues to RISE, so will their need for resources and services\xe2\x80\x94something that co\xe2\x80\xa6 https://t.co/pc0lusfgfC"""

2022-02-17 17:57:38+00:00,"b""RT @RepAndyBiggsAZ: COVID-19 uncovered the true freedom-fighters and freedom-takers in our world. \n\nDon't ever forget their names."""

2022-02-17 17:57:38+00:00,"b'""The #COVID19 #vaccine is recommended for everyone, including kids - even if you\'ve had COVID before."" -\xe2\x80\xa6 https://t.co/I9CBk1vMz1'"

2022-02-17 17:57:38+00:00,"b'RT @ajc: Heads up, Fulton residents! Six weeks after an Omicron-induced rush to get a COVID-19 test, Fulton County government officials hav\xe2\x80\xa6'"

2022-02-17 17:57:38+00:00,"b""RT @ColumbusCouncil: Join us virtually Friday for Council's annual Black History Month Celebration and Poindexter Awards recognition, and l\xe2\x80\xa6"""

2022-02-17 17:57:37+00:00,b'Can this be real?  Or is this a coverup for the use of the flu numbers in 2020?  https://t.co/iMz9QiL22X)'

2022-02-17 17:57:35+00:00,"b'HOW ABOUT NO ? ""The death toll is still at its second-highest point ever \xe2\x80\x94 2,400 people dying in the U.S. everyday,\xe2\x80\xa6 https://t.co/IU6UDoyO0b'"

2022-02-17 17:57:35+00:00,b'RT @TonyHinton2016: An excellent article from an infectious diseases expert on why covid vaccines for kids may be all risk and no benefit \xe2\x81\xa6\xe2\x80\xa6'

2022-02-17 17:57:35+00:00,b'RT @WeAreDCAction: The District\xe2\x80\x99s home visiting programs have quietly shown up for families in countless ways for 2 long years during the C\xe2\x80\xa6'

2022-02-17 17:57:35+00:00,b'RT @CorinneReverbel: A clinical trial regional director filed a $2 billion lawsuit against Pfizer and BioNTech alleging the pharmaceutical\xe2\x80\xa6'

2022-02-17 17:57:34+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"

2022-02-17 17:57:33+00:00,b'RT @AZDHS: #AZHealthTips Stay up to date with your #COVID19 vaccinations:\n-  Everyone ages 5+ is able to get a vaccine.\n- A booster dose is\xe2\x80\xa6'

2022-02-17 17:57:33+00:00,b'@WHO 4. COVID-19 occurred mainly because people infected with 2019-nCoV used antipyretics or steroids. And continue\xe2\x80\xa6 https://t.co/akdCmNc0Jc'

2022-02-17 17:57:33+00:00,"b""RT @CloutNewsMedia: BigHit Music reveals that @TXT_bighit's YEONJUN has tested positive for COVID-19.\n\n#GetWellSoonYeonjun #YEONJUN #TxT #T\xe2\x80\xa6"""

2022-02-17 17:57:32+00:00,b'RT @classycollectr: If physicians banded together like the truckers and refused to work until:\n\n- Vaccine mandates for COVID-19 were lifted\xe2\x80\xa6'

2022-02-17 17:57:32+00:00,"b'The UK is set to remove all #Covid19 rules in the coming days as the nation looks to return pre-pandemic life, but\xe2\x80\xa6 https://t.co/3QBu6XQ8Em'"

2022-02-17 17:57:32+00:00,"b'Eagle County reported 43 new COVID-19 cases on Wednesday, Garfield County added 29 cases, while Pitkin County added\xe2\x80\xa6 https://t.co/2DJyTbkPQy'"

2022-02-17 17:57:31+00:00,b'RT @DawnButlerBrent: I\xe2\x80\x99ve written to the Prime Minister outlining my concerns regarding the plan to mark the Queen\xe2\x80\x99s 70-year reign by sendi\xe2\x80\xa6'

2022-02-17 17:57:31+00:00,"b'RT @nicd_sa: #COVID19 UPDATE: 34,536 tests were conducted in the last 24hrs, with 3,056 new cases, representing an 8.8% positivity rate. To\xe2\x80\xa6'"

2022-02-17 17:57:31+00:00,b'RT @gelliottmorris: The results can be seen here. 71% of Americans think \xe2\x80\x9cparents should be required\xe2\x80\x9d to have their kids vaccinated against\xe2\x80\xa6'

2022-02-17 17:57:31+00:00,b'Study strengthens case that vitamins cannot treat COVID-19 https://t.co/cqa37D8DAL'

2022-02-17 17:57:30+00:00,b'How to use and understand always-evolving COVID-19 data https://t.co/mPYqNzyaPt'

2022-02-17 17:57:29+00:00,b'Why some vaccinated people still get hospitalized with COVID-19 https://t.co/RSGCPBsfI0'

2022-02-17 17:57:29+00:00,"b""@nikar_riddle Yeah like let that man be he's tryna recuperate and then there's ppl out here trying to prove he's wi\xe2\x80\xa6 https://t.co/ifePcChVs4"""

2022-02-17 17:57:28+00:00,"b'RT @gelliottmorris: After getting very surprising poll results on school vaccine requirements yesterday, the folks at YouGov decided to run\xe2\x80\xa6'"

2022-02-17 17:57:28+00:00,b'@FordPorter1 This is exceptionally disappointing. In January covid-19 was once again the 2nd leading cause of death\xe2\x80\xa6 https://t.co/LwNWn8JE4l'

2022-02-17 17:57:28+00:00,b'RT @Movie_About_ME: Researchers predict\xc2\xa010-12% of all COVID-19 patients will develop M.E. \n\nA group of us have come together to make an inv\xe2\x80\xa6'

2022-02-17 17:57:27+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"

2022-02-17 17:57:26+00:00,b'@HardenSixer @SportsRadioWIP @RTRSPodcast They truly got lucky with maxey there was no march madness when he came o\xe2\x80\xa6 https://t.co/mpMVCr3QWU'

2022-02-17 17:57:25+00:00,"b'RT @RepThomasMassie: Thank you to @RepMikeJohnson for cosponsoring HR 3860, legislation I introduced to prevent members of the Armed Forces\xe2\x80\xa6'"

2022-02-17 17:57:25+00:00,"b""@auroratracy0621 'Taqiyya' 'Bread &amp; Circuses' 'Culling' 'Cloward-Piven' 'Covid 19 Forum',It don't hurt until it hit\xe2\x80\xa6 https://t.co/NT4yFIqGdu"""

2022-02-17 17:57:25+00:00,b'Has your independent #school experienced a crisis while dealing with #COVID19 these last two years? We encourage yo\xe2\x80\xa6 https://t.co/OkvEQKLt0L'

2022-02-17 17:57:25+00:00,b'In our latest COVID-19 summary update:\n\xf0\x9f\x93\x89 good news about declining case positivity and high booster rates\n\xf0\x9f\x8e\xad detaile\xe2\x80\xa6 https://t.co/EgiIfVyoA4'

2022-02-17 17:57:22+00:00,b'RT @MichaelPSenger: Controlling COVID-19 has always been a lie.'

2022-02-17 17:57:21+00:00,b'business:pm top stories\n\n \xe2\x80\xa2 Japan to relax strict Covid-19 entry rules\n \xe2\x80\xa2 Three more European countries ease entry\xe2\x80\xa6 https://t.co/9NUsmlEwwA'

2022-02-17 17:57:20+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"

2022-02-17 17:57:20+00:00,"b""@GOPChairwoman Like so many other things, you don't tell the truth or the entire story/information. https://t.co/z4xSyJ1Zde"""

2022-02-17 17:57:20+00:00,"b'@jmtomsick @Jeanett47347812 @JemNicoleRN This is the best data set to determine ""excess deaths"" but don\'t pay stric\xe2\x80\xa6 https://t.co/7ObBIL38zD'"

2022-02-17 17:57:19+00:00,"b'@EliseStefanik ""The death toll is still at its second-highest point ever \xe2\x80\x94 2,400 people dying in the U.S. everyday,\xe2\x80\xa6 https://t.co/UlntcxrOSS'"

2022-02-17 17:57:19+00:00,b'RT @uksciencechief: The latest scientific evidence informing the advice from SAGE is available here \xf0\x9f\x91\x89 https://t.co/Boq1miZRmW https://t.co/\xe2\x80\xa6'

2022-02-17 17:57:19+00:00,b'RT @DawnButlerBrent: I\xe2\x80\x99ve written to the Prime Minister outlining my concerns regarding the plan to mark the Queen\xe2\x80\x99s 70-year reign by sendi\xe2\x80\xa6'

2022-02-17 17:57:18+00:00,"b'@Farq_Doff If you are not vaccinated, and you get covid-19, you understand that you still have full access to medic\xe2\x80\xa6 https://t.co/K2QeVjd7rE'"

2022-02-17 17:57:18+00:00,"b'RT @StJohnsTelegram: POLL: N.L. is getting ready to drop #covid19nfld policies \xe2\x80\x94 is it time, or too soon? #SaltWire \n\nSo far, 63 per cent o\xe2\x80\xa6'"

2022-02-17 17:57:17+00:00,"b'Vermont \xf0\x9f\x8f\xb4 COVID-19 current stats for Thu Feb 17 2022\n\nCases: 110,171\nDeaths: 575\nRecovered: 91,683\nActive: 17,913\nT\xe2\x80\xa6 https://t.co/SFmSdNHFJL'"

2022-02-17 17:57:17+00:00,b'RT @TrueNorthCentre: Figures from around the world are standing with Canadian protestors who oppose COVID-19 mandates after Prime Minister\xe2\x80\xa6'

2022-02-17 17:57:14+00:00,"b'RT @andrewbostom: Austria set to scrap most coronavirus measures on March 5: The country\xe2\x80\x99s so-called green pass, which provides evidence of\xe2\x80\xa6'"

2022-02-17 17:57:13+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"

2022-02-17 17:57:13+00:00,b'RT @NahasNewman: \xe2\x80\x9cWhat all of these early studies lacked was a control group\xe2\x80\xa6.This was a crucial limitation.\xe2\x80\x9d\n\n\xe2\x80\x9cSeveral peer-reviewed studi\xe2\x80\xa6'

2022-02-17 17:57:13+00:00,"b'@mr2223 @BitcoinMagazine Just around 2 or 3 years something, during Covid 19 epidemic.'"

2022-02-17 17:57:12+00:00,"b'RT @MatteaMerta: ""I am announcing that as of today all the restrictive measures imposed by COVID-19 are suspended,"" President of the Domini\xe2\x80\xa6'"

2022-02-17 17:57:12+00:00,b'Please sign https://t.co/5hdlWQ7Ttg'

2022-02-17 17:57:11+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"

2022-02-17 17:57:11+00:00,b'Rayner thinks police should shoot suspected terrorists first&gt;ask questions later&gt;Among govt organisations mobilised\xe2\x80\xa6 https://t.co/oQ8polHRk7'

2022-02-17 17:57:10+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"

2022-02-17 17:57:07+00:00,"b""RT @sdtiwari: Complaint filed against Arvind Kejriwal on Kumar Vishwas's statement.\nA Delhi-based lawyer on Thursday filed a complaint with\xe2\x80\xa6"""

2022-02-17 17:57:07+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"

2022-02-17 17:57:06+00:00,"b""RT @EGAPTweets: Today's #TBT COVID-19 Governance series post shares an interview w/ EGAPer @evlieb &amp; co-author @allisonrharell about their\xe2\x80\xa6"""

2022-02-17 17:57:06+00:00,"b""RT @zimlive: ONE RULE FOR SOME... Police set rules for CCC's March 26 by-elections campaign launch at Zimbabwe Grounds on Sunday. ZRP says\xe2\x80\xa6"""

2022-02-17 17:57:04+00:00,b'RT @dankojones: Welcome Novavax to the vaccination race!\n\nGet vaxxed to keep vulnerable people safe. \nDon\xe2\x80\x99t listen to stupid racist anti-va\xe2\x80\xa6'

2022-02-17 17:57:04+00:00,b'The coming COVID-19 baby bust: Update https://t.co/Re9lgd9tgT via @BrookingsInst'

2022-02-17 17:57:04+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"

2022-02-17 17:57:04+00:00,b'RT @imgrund: RE-UPPING: Boostered individuals were 1.4 times LESS likely to TRANSMIT COVID-19 than fully vaccinated people.\n\nUnvaccinated w\xe2\x80\xa6'

2022-02-17 17:57:03+00:00,b'@GutuObert This is the guy that broke Covid-19 regulations last year and at some point was on the run.'

2022-02-17 17:57:03+00:00,b'RT @KoaTheGreat: NEW \xe2\x80\x94 A clinical trial regional director filed a $2 billion lawsuit against Pfizer &amp; BioNTech alleging the pharmaceutical\xe2\x80\xa6'

2022-02-17 17:57:03+00:00,"b'RT @msdh: Today MSDH is reporting 587 more cases of COVID-19 in Mississippi, 18 deaths, and 169 ongoing outbreaks in long-term care facilit\xe2\x80\xa6'"

2022-02-17 17:57:02+00:00,b'RT @DawnButlerBrent: I\xe2\x80\x99ve written to the Prime Minister outlining my concerns regarding the plan to mark the Queen\xe2\x80\x99s 70-year reign by sendi\xe2\x80\xa6'

2022-02-17 17:57:02+00:00,"b'RT @nyc_infamouss: @P_McCulloughMD were in the clinical trials\n\n""Pfizer has suggested that requests for the data will not be considered unt\xe2\x80\xa6'"

2022-02-17 17:57:00+00:00,b'Regulator approves emergency use of MSD\xe2\x80\x99s Covid-19 pill https://t.co/CoH7PWhRSI # via @BusinessLiveSA'

2022-02-17 17:57:00+00:00,b'RT @RogerPielkeJr: This is an incredible mess of an article arguing that the idea of a COVID-19 lab leak is conspiracy theory just like cli\xe2\x80\xa6'

2022-02-17 17:57:00+00:00,"b'Sajid Javid: Support for 500,000 Immunocompromised People for whom Covid-19 remains a significant risk - Sign the P\xe2\x80\xa6 https://t.co/hj2Gq684Kv'"

2022-02-17 17:56:58+00:00,b'RT @NahasNewman: \xe2\x80\x9cWhat all of these early studies lacked was a control group\xe2\x80\xa6.This was a crucial limitation.\xe2\x80\x9d\n\n\xe2\x80\x9cSeveral peer-reviewed studi\xe2\x80\xa6'

2022-02-17 17:56:58+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"

2022-02-17 17:56:57+00:00,"b'Sajid Javid: Support for 500,000 Immunocompromised People for whom Covid-19 remains a significant risk - Sign the P\xe2\x80\xa6 https://t.co/GYApCs63WC'"

2022-02-17 17:56:57+00:00,"b""RT @RepAndyBiggsAZ: COVID-19 uncovered the true freedom-fighters and freedom-takers in our world. \n\nDon't ever forget their names."""

2022-02-17 17:56:57+00:00,b'RT @richardzussman: I have decided to end nearly two years of posting BC\xe2\x80\x99s COVID-19 stats daily.\nThey are less relevant now and I will post\xe2\x80\xa6'

2022-02-17 17:56:57+00:00,b'We are still actively recruiting for the COVERED Vaccine Registry. The aim of this study is to gain a better unders\xe2\x80\xa6 https://t.co/f8Ct1STvhP'

2022-02-17 17:56:56+00:00,b'RT @ajacquitaylor: 2) A document just released by the U.S. Food and Drug Administration (FDA) openly admits that the infamous PCR test for\xe2\x80\xa6'

2022-02-17 17:56:56+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"

2022-02-17 17:56:55+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"

2022-02-17 17:56:55+00:00,"b'RT @johndefeo: The COVID-19 pandemic has laid bare many shortcomings and frailties in our society, but for me, none has been more damaging\xe2\x80\xa6'"

2022-02-17 17:56:54+00:00,"b'RT @cnni: Tyrese Gibson is mourning the death of his mother Priscilla Murray, who died on Monday from Covid-19 and pneumonia, according to\xe2\x80\xa6'"

2022-02-17 17:56:54+00:00,"b'Sajid Javid: Support for 500,000 Immunocompromised People for whom Covid-19 remains a significant risk - Sign the P\xe2\x80\xa6 https://t.co/8ZLxjeUhvs'"

2022-02-17 17:56:54+00:00,"b'RT @TXEMTF: Two years ago today, members of our Infectious Disease Response Unit (IDRU) from @TXEMTF7 &amp; @TXEMTF8 were deployed to San Anton\xe2\x80\xa6'"

2022-02-17 17:56:54+00:00,"b'RT @ForeignAffairs: \xe2\x80\x9cThe world needs to prepare, mentally and physically, for a future where everyone will be permanently at risk of gettin\xe2\x80\xa6'"

2022-02-17 17:56:54+00:00,"b'RT @FergalBowers: With today\xe2\x80\x99s dramatic developments, this is starting to look like my final Covid-19 notebook. Here\xe2\x80\x99s hoping. \xf0\x9f\x8c\x9e https://t.\xe2\x80\xa6'"

2022-02-17 17:56:53+00:00,b'RT @CraigKellyMP: Police are out of control\n\nAllegations of corruption &amp; criminal connections\n\nAllegations of Police brutality\n\nAllegations\xe2\x80\xa6'

2022-02-17 17:56:52+00:00,"b""RT @insightfactor: \xf0\x9f\x94\xb4Dimakatso's Ice-cream Lie\xf0\x9f\x94\xb4\n\nDuring yesterday's #SONA2022 , President @CyrilRamaphosa stated how an ice cream shop was o\xe2\x80\xa6"""

2022-02-17 17:56:52+00:00,"b""RT @CPAJim2021: @twtnando88 Sellin gives an overall view of what Chinese People's Liberation Army has been doing in the artcile https://t.c\xe2\x80\xa6"""

2022-02-17 17:56:51+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"

2022-02-17 17:56:51+00:00,"b'RT @Surgeon_General: This weekend, my 4 y/o daughter tested positive for COVID-19. She\xe2\x80\x99s had a fever and sore throat, and she isn\xe2\x80\x99t her usu\xe2\x80\xa6'"

2022-02-17 17:56:50+00:00,"b""RT @JoePajak: @chrischirp By ending #Covid 'mitigation measures' [public health protections] 'early', some are arguing that Denmark 'brough\xe2\x80\xa6"""

2022-02-17 17:56:50+00:00,"b""#News #Health Novavax's COVID-19 vaccine approved for Canadians 18 and over https://t.co/OTF0VhITQU"""

2022-02-17 17:56:50+00:00,b'RT @MichaelPSenger: Controlling COVID-19 has always been a lie.'

2022-02-17 17:56:50+00:00,"b'RT @andrewbostom: Austria set to scrap most coronavirus measures on March 5: The country\xe2\x80\x99s so-called green pass, which provides evidence of\xe2\x80\xa6'"

2022-02-17 17:56:50+00:00,b'RT @RogerPielkeJr: This is an incredible mess of an article arguing that the idea of a COVID-19 lab leak is conspiracy theory just like cli\xe2\x80\xa6'

2022-02-17 17:56:49+00:00,b'RT @billboard: Yeonjun of K-pop group TOMORROW x TOGETHER has tested positive for COVID-19.  https://t.co/OjCI9RNVrs'

2022-02-17 17:56:49+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"

2022-02-17 17:56:48+00:00,"b'RT @MSNBC: ""The death toll is still at its second-highest point ever \xe2\x80\x94 2,400 people dying in the U.S. everyday,"" @AriMelber says on the cur\xe2\x80\xa6'"

2022-02-17 17:56:47+00:00,"b'@GANyborg @Folkehelseinst @jonasgahrstore @ingvildkjerkol The thing I replied to was the claim ""the mRNA vaccines s\xe2\x80\xa6 https://t.co/4wvzdZuER6'"

2022-02-17 17:56:47+00:00,b'RT @CBCTBay: Differences between reopening realities for north and south result in calls for better representation\n\nhttps://t.co/zIILlcI3vk'

2022-02-17 17:56:46+00:00,"b'RT @neverlandintl: ""Miyeon completed the second round of the COVID-19 vaccine, and is currently suspending all schedules and taking necessa\xe2\x80\xa6'"

2022-02-17 17:56:45+00:00,"b'Of new COVID cases, 255 are reinfections (defined as a positive viral COVID-19 test in an individual with a previou\xe2\x80\xa6 https://t.co/F7EmDJ0sIl'"

2022-02-17 17:56:44+00:00,b'@Basquieth_ covid-19 :('

2022-02-17 17:56:42+00:00,b'RT @Charmzo_man: South Africans please wake up....something huge is going to hit SA soon.\n\n1.  What if i told you Covid-19 is just a destru\xe2\x80\xa6'

2022-02-17 17:56:39+00:00,"b""RT @poetWOAgun: Why didn't Dr.Fauci talk about:'\n-Treatments for COVID-19?\n-Importance of EXERCISING to prevent COVID?\n\nInstead he only adv\xe2\x80\xa6"""

2022-02-17 17:56:38+00:00,"b'RT @MSNBC: ""The death toll is still at its second-highest point ever \xe2\x80\x94 2,400 people dying in the U.S. everyday,"" @AriMelber says on the cur\xe2\x80\xa6'"

2022-02-17 17:56:36+00:00,"b'RT @NaikRooh: Bill Gates has taken a keen interest in the Covid-19 mitigation strategy of Pakistan especially the ""Smart Lockdown"". https:/\xe2\x80\xa6'"

2022-02-17 17:56:36+00:00,b'RT @DGHisham: We have prepared for the herd immunity approach following our high vaccination coverage and natural immunity from those recov\xe2\x80\xa6'

2022-02-17 17:56:35+00:00,b'RT @drankitgupta37: Penned by Dr. Ankit Gupta_ The Covid-19 third wave: How to control it and the way forward -https://t.co/sJIp4jfJCH'

2022-02-17 17:56:35+00:00,"b'Sajid Javid: Support for 500,000 Immunocompromised People for whom Covid-19 remains a significant risk - Sign the P\xe2\x80\xa6 https://t.co/sdFmuU4VWH'"

2022-02-17 17:56:34+00:00,"b'Covid-19 cases slide further in Tamil Nadu: 1,252 infections and six deaths\xc2\xa0today https://t.co/AY04XxwogY'"

2022-02-17 17:56:34+00:00,"b""RT @crystalmundypsy: #BCPoli #ABLeg #BCEd #ABEd \n\n13-year-old dies from COVID-19, her mother's plea to the community https://t.co/uRSO0lN64O"""

2022-02-17 17:56:34+00:00,b'@kurian0612 @ShashiTharoor Just recovering from Covid 19 ; politics n religious polarization will further damage ou\xe2\x80\xa6 https://t.co/RJzEudbh6c'

2022-02-17 17:56:30+00:00,b'RT @MichaelPSenger: Controlling COVID-19 has always been a lie.'

2022-02-17 17:56:29+00:00,"b'8 new COVID-19 deaths, active cases down in Thursday update https://t.co/oRltx4ghWZ'"

2022-02-17 17:56:29+00:00,b'Top U.S. infectious disease expert Dr. Anthony Fauci said on Wednesday that it is time for the United States to sta\xe2\x80\xa6 https://t.co/pFnFFJwj3B'

2022-02-17 17:56:28+00:00,"b'RT @stephenlewisfdn: With FARUG working at the frontlines of COVID-19 response for their community over the past 2 years, UGALEF was also a\xe2\x80\xa6'"

2022-02-17 17:56:27+00:00,"b'@marcorubio ...humanitarian assistance, to include food, medicine, vaccines, and other critical COVID-19 relief sup\xe2\x80\xa6 https://t.co/oQgBCe77GD'"

2022-02-17 17:56:27+00:00,"b'RT @CTVNews: Unvaccinated truckers delivering vaccines, COVID-19 devices exempt from border rules https://t.co/lrg8oKeHHX https://t.co/6t6G\xe2\x80\xa6'"

2022-02-17 17:56:27+00:00,b'RT @HPA_MV: Today (17/02/22) at 03:27 am a 92-year-old Maldivian female admitted at GDh. Covid Management Facility has passed away\n\nThis is\xe2\x80\xa6'

2022-02-17 17:56:26+00:00,b'RT @EssexPR: Vaccinate the vulnerable turned into vaccinate anything that moves.\nIt was either the plan from the off and they lied or they\xe2\x80\xa6'

2022-02-17 17:56:26+00:00,"b'Two years ago today, members of our Infectious Disease Response Unit (IDRU) from @TXEMTF7 &amp; @TXEMTF8 were deployed\xe2\x80\xa6 https://t.co/9ZUG4JJcyF'"

2022-02-17 17:56:26+00:00,"b""Novavax's COVID-19 vaccine is authorized in Canada https://t.co/DCIDDBGFhK"""

2022-02-17 17:56:25+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"

2022-02-17 17:56:24+00:00,b'RT @EssexPR: Vaccinate the vulnerable turned into vaccinate anything that moves.\nIt was either the plan from the off and they lied or they\xe2\x80\xa6'

2022-02-17 17:56:24+00:00,b'RT @soompi: TXT\xe2\x80\x99s Yeonjun Diagnosed With COVID-19\nhttps://t.co/zA9HvgIYUo https://t.co/JJM3YVDent'

